year,round,driver,quali_gap
2015,1,bottas,1.468999999999994
2015,1,button,5.094999999999999
2015,1,ericsson,5.049000000000007
2015,1,grosjean,2.233000000000004
2015,1,hamilton,0.0
2015,1,hulkenberg,2.881
2015,1,kevin_magnussen,5.710000000000008
2015,1,kvyat,2.742999999999995
2015,1,maldonado,2.399000000000001
2015,1,massa,1.3910000000000051
2015,1,max_verstappen,2.540999999999997
2015,1,nasr,2.472999999999999
2015,1,perez,2.882000000000005
2015,1,raikkonen,1.462999999999994
2015,1,ricciardo,2.002000000000009
2015,1,rosberg,0.5939999999999941
2015,1,sainz,2.183000000000007
2015,1,vettel,1.4150000000000065
2015,2,alonso,2.477000000000004
2015,2,bottas,0.9799999999999898
2015,2,button,2.3669999999999902
2015,2,ericsson,1.070999999999998
2015,2,grosjean,1.0339999999999918
2015,2,hamilton,0.0
2015,2,hulkenberg,1.5609999999999928
2015,2,kvyat,1.2769999999999868
2015,2,maldonado,1.0919999999999843
2015,2,massa,1.274000000000001
2015,2,max_verstappen,1.524000000000001
2015,2,merhi,7.407999999999987
2015,2,nasr,2.038999999999988
2015,2,perez,1.766999999999996
2015,2,raikkonen,1.1459999999999866
2015,2,ricciardo,1.2349999999999852
2015,2,rosberg,0.1049999999999897
2015,2,sainz,0.5449999999999875
2015,2,vettel,0.3629999999999995
2015,3,alonso,3.4980000000000047
2015,3,bottas,1.3610000000000042
2015,3,button,3.494000000000014
2015,3,ericsson,2.345000000000013
2015,3,grosjean,2.1230000000000047
2015,3,hamilton,0.0
2015,3,hulkenberg,3.434000000000012
2015,3,kvyat,2.4270000000000067
2015,3,maldonado,2.352000000000004
2015,3,massa,1.1720000000000113
2015,3,max_verstappen,2.605000000000004
2015,3,merhi,7.060000000000002
2015,3,nasr,2.234999999999999
2015,3,perez,3.120999999999995
2015,3,raikkonen,1.3270000000000124
2015,3,ricciardo,1.7579999999999956
2015,3,rosberg,0.0460000000000064
2015,3,sainz,2.756
2015,3,stevens,6.309000000000012
2015,3,vettel,0.9050000000000012
2015,4,alonso,2.4680000000000035
2015,4,bottas,0.8100000000000023
2015,4,ericsson,2.462999999999994
2015,4,grosjean,1.5519999999999925
2015,4,hamilton,0.0
2015,4,hulkenberg,1.8790000000000049
2015,4,kvyat,3.228999999999999
2015,4,maldonado,3.1059999999999945
2015,4,massa,0.980000000000004
2015,4,max_verstappen,2.5320000000000107
2015,4,merhi,7.1510000000000105
2015,4,nasr,2.165999999999997
2015,4,perez,2.1330000000000098
2015,4,raikkonen,0.6560000000000059
2015,4,ricciardo,1.2609999999999957
2015,4,rosberg,0.5579999999999927
2015,4,sainz,1.891000000000005
2015,4,stevens,6.141999999999996
2015,4,vettel,0.4110000000000013
2015,5,alonso,3.079000000000008
2015,5,bottas,1.0130000000000052
2015,5,button,3.132000000000005
2015,5,ericsson,3.4309999999999974
2015,5,grosjean,2.6940000000000026
2015,5,hamilton,0.2670000000000101
2015,5,hulkenberg,3.6839999999999975
2015,5,kvyat,1.9480000000000075
2015,5,maldonado,2.6000000000000085
2015,5,massa,1.465999999999994
2015,5,max_verstappen,1.5679999999999978
2015,5,merhi,7.356999999999999
2015,5,nasr,2.9440000000000026
2015,5,perez,3.76100000000001
2015,5,raikkonen,1.3349999999999935
2015,5,ricciardo,2.01100000000001
